tract,Name,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall
24005411407,"Parkville, MD",0.1804
24510120500,"Greenmount West, Baltimore, MD",0.1801
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.1801
24013505102,"Sykesville, MD",0.1797
24005403702,"Pikesville, MD",0.1796
24003730506,"South Gate, Glen Burnie, MD",0.179
24005440900,"Rosedale, MD",0.179
24013505208,"Sykesville, MD",0.1789
24033800103,"Laurel, MD",0.1788
24005402406,"Windsor Mill, Milford Mill, MD",0.1782
24510130805,"Cold Springs, Baltimore, MD",0.1776
24035810400,"Centreville, MD",0.1775
24027606905,"Savage, Savage, MD",0.1774
24510270703,"North Harford Road, Baltimore, MD",0.1767
24027602306,"Dunloggin, Ellicott City, MD",0.1766
24510100200,"Baltimore, MD",0.1765
24510220100,"Baltimore, MD",0.1764
24033800209,"Laurel, MD",0.1764
24005400100,"Catonsville, MD",0.1761
24027606606,"Long Reach, Columbia, MD",0.176
24031701408,"Spencerville, MD",0.1759
24005408601,"Lutherville-Timonium, MD",0.1756
24510030200,"Little Italy, Baltimore, MD",0.1756
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1756
24005404800,"Reisterstown, MD",0.1756
24027606603,"Oakland Mills, Columbia, MD",0.1755
24510260605,"Medford - Broening, Baltimore, MD",0.1755
24005403801,"Baltimore County, MD",0.1749
24005411406,"Nottingham, MD",0.1747
24003740304,"Odenton, MD",0.1746
24510270501,"Woodring, Baltimore, MD",0.1743
24005401400,"Catonsville, MD",0.1742
24005411309,"Perry Hall, MD",0.174
24003731104,"Arnold, MD",0.1738
24005408800,"Lutherville-Timonium, MD",0.1737
24510170200,"McCulloh Homes, Baltimore, MD",0.1736
24510270502,"North Harford Road, Baltimore, MD",0.1735
24027602800,"Ellicott City, MD",0.1733
24005408503,"Cockeysville, MD",0.1732
24027605102,"Fulton, MD",0.1732
24005400900,"Catonsville, MD",0.1722
24510070400,"Gay Street, Baltimore, MD",0.172
24027606906,"Laurel, MD",0.1718
24005411308,"Nottingham, MD",0.1715
24013505207,"Sykesville, MD",0.1713
24003731102,"Arnold, MD",0.1712
24027601103,"West Elkridge, Elkridge, MD",0.1711
24027605402,"Columbia, MD",0.1709
24005411201,"Baldwin, MD",0.1709
24005408302,"Lutherville-Timonium, MD",0.1708
24027602302,"Columbia, MD",0.1699
24005411303,"Nottingham, MD",0.1698
24033800102,"Laurel, MD",0.1697
24033800206,"Laurel, MD",0.1696
24027605104,"Clarksville, MD",0.1691
24031701315,"Olney, MD",0.169
24510010100,"Canton, Baltimore, MD",0.1685
24005408507,"Cockeysville, MD",0.168
24005401000,"Catonsville, MD",0.168
24013504202,"Westminster, MD",0.1672
24031701317,"Brookeville, MD",0.1666
24033800208,"Laurel, MD",0.1663
24005491500,"Parkville, MD",0.1659
24005404402,"Reisterstown, MD",0.1656
24003730505,"South Gate, Glen Burnie, MD",0.1655
24005408702,"Towson, MD",0.165
24510230200,"South Baltimore, Baltimore, MD",0.1649
24003731201,"Severna Park, MD",0.1649
24005408505,"Lutherville-Timonium, MD",0.1649
24013505101,"Sykesville, MD",0.1646
24510240300,"Riverside, Baltimore, MD",0.1642
24027603001,"Woodstock, MD",0.1641
24005491000,"Baltimore, MD",0.1641
24025306500,"Aberdeen Proving Ground, MD",0.1641
24510060300,"Butchers Hill, Baltimore, MD",0.163
24005400702,"Baltimore, MD",0.1628
24027601108,"Ellicott City, MD",0.1623
24027601104,"Ellicott City, MD",0.1621
24005404102,"Owings Mills, MD",0.1617
24003740602,"Fort Meade, MD",0.1614
24510260201,"Frankford, Baltimore, MD",0.1614
24003731105,"Arnold, MD",0.1609
24031701316,"Sandy Spring, Ashton-Sandy Spring, MD",0.1607
24033800106,"Laurel, MD",0.1607
24510170300,"Upton, Baltimore, MD",0.1606
24005402202,"Baltimore County, MD",0.1602
24005492001,"Parkville, MD",0.1601
24013505203,"Eldersburg, MD",0.1596
24027601105,"Ellicott City, MD",0.1593
24005490200,"Lutherville-Timonium, MD",0.159
24027605601,"Hickory Ridge, Columbia, MD",0.1589
24005450504,"Essex, MD",0.1588
24510270804,"Lake Walker, Baltimore, MD",0.1585
24510080800,"Broadway East, Baltimore, MD",0.1584
24005490800,"Towson, MD",0.1582
24005490400,"Towson, MD",0.1582
24027606601,"Oakland Mills, Columbia, MD",0.1577
24027601203,"Elkridge, MD",0.1576
24510280403,"Westgate, Baltimore, MD",0.1575
24005490900,"Towson, MD",0.1574
24005411307,"Nottingham, MD",0.1572
24510080400,"Broadway East, Baltimore, MD",0.1561
24005403601,"Baltimore, MD",0.156
24031701417,"Silver Spring, MD",0.1558
24027606904,"Laurel, MD",0.1557
24510130100,"Reservoir Hill, Baltimore, MD",0.1553
24027606705,"Owen Brown, Columbia, MD",0.1546
24005492101,"Parkville, MD",0.1539
24033800211,"Laurel, MD",0.1537
24031701409,"Burtonsville, MD",0.1534
24027603004,"Ellicott City, MD",0.1531
24003740601,"Fort Meade, MD",0.1523
24027606806,"Kings Contrivance, Laurel, MD",0.1521
24003730700,"Severna Park, MD",0.1519
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.1519
24005492600,"Parkville, MD",0.151
24510020200,"Upper Fells Point, Baltimore, MD",0.151
24027602600,"Ellicott City, MD",0.1498
24027605401,"Dorsey's Search, Columbia, MD",0.1496
24027602900,"Normandy, Ellicott City, MD",0.1496
24005491100,"Baltimore, MD",0.1494
24005400500,"Catonsville, MD",0.1491
24003730601,"Millersville, MD",0.149
24027605505,"River Hill, Clarksville, MD",0.1488
24005402503,"Randallstown, MD",0.1487
24005411202,"Glen Arm, MD",0.1482
24027604002,"Glenwood, MD",0.1479
24013505206,"Marriottsville, MD",0.1475
24005408703,"Mays Chapel, Lutherville-Timonium, MD",0.1472
24005491201,"Towson, MD",0.1463
24005490603,"Baltimore, MD",0.146
24005403701,"Owings Mills, MD",0.1455
24027602202,"Ellicott City, MD",0.1451
24005410200,"Phoenix, MD",0.1449
24510261100,"Canton, Baltimore, MD",0.1442
24027605103,"Highland, MD",0.1438
24027602303,"Ellicott City, MD",0.143
24510060200,"Baltimore, MD",0.1429
24005408303,"Reisterstown, MD",0.1428
24027606803,"Kings Contrivance, Columbia, MD",0.1428
24031701308,"Olney, MD",0.1419
24027602100,"Ellicott City, MD",0.1412
24005490703,"Towson, MD",0.141
24027605602,"Hickory Ridge, Columbia, MD",0.1381
24510280301,"Gwynn Oak, Baltimore, MD",0.1372
24005490302,"Towson, MD",0.1371
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1369
24033800214,"Laurel, MD",0.1354
24005408304,"Cockeysville, MD",0.1351
24027606604,"Columbia, MD",0.133
24027603003,"West Friendship, MD",0.1324
24005490301,"Towson, MD",0.1319
24510271300,"Roland Park, Baltimore, MD",0.131
24005403802,"Pikesville, MD",0.1298
24510120600,"Old Goucher, Baltimore, MD",0.1286
24013505205,"Eldersburg, MD",0.1282
24033800212,"Laurel, MD",0.1277
24005404900,"Owings Mills, MD",0.1272
24510020300,"Fells Point, Baltimore, MD",0.1252
24031701422,"Silver Spring, MD",0.1244
24005408506,"Cockeysville, MD",0.1242
24003740603,"Fort Meade, MD",0.1239
24033800210,"Laurel, MD",0.1232
24027606701,"Kings Contrivance, Columbia, MD",0.1215
24005403803,"Pikesville, MD",0.1213
24510010400,"Canton, Baltimore, MD",0.1212
24027606804,"Kings Contrivance, Columbia, MD",0.1211
24510110100,"Downtown, Baltimore, MD",0.1199
24027602304,"Ellicott City, MD",0.1197
24005490602,"Baltimore, MD",0.119
24510271200,"Homeland, Baltimore, MD",0.1175
24005408602,"Lutherville-Timonium, MD",0.1172
24510010500,"Upper Fells Point, Baltimore, MD",0.1156
24510120201,"Baltimore, MD",0.1155
24005490500,"Towson, MD",0.1129
24005491202,"Towson, MD",0.1103
24027605502,"Harper's Choice, Columbia, MD",0.1102
24005408502,"Lutherville, Lutherville-Timonium, MD",0.1065
24027602700,"Taylor Village, Ellicott City, MD",0.1056
24027602201,"Ellicott City, MD",0.1047
24510040200,"Downtown, Baltimore, MD",0.1041
24510271501,"Mount Washington, Baltimore, MD",0.1041
24005408704,"Mays Chapel, Lutherville-Timonium, MD",0.1037
24005490601,"Baltimore, MD",0.0971
24027602305,"Ellicott City, MD",0.0955
24005490701,"Towson, MD",0.0934
24510271503,"Cross Keys, Baltimore, MD",0.0924
24510271102,"Mid-Charles, Baltimore, MD",0.0875
24510140100,"Bolton Hill, Baltimore, MD",0.0813
24510040100,"Downtown, Baltimore, MD",0.0805
24510110200,"Downtown, Baltimore, MD",0.0755
24510271400,"Evergreen, Baltimore, MD",0.0743
24005408400,"Cockeysville, MD",0.0678
24510120202,"Baltimore, MD",0.0614
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003740400,"Jessup, MD",
24003980000,"Linthicum Heights, MD",
